compound,adipose_subcutaneous,adipose_visceral_omentum,adrenal_gland,artery_aorta,artery_coronary,artery_tibial,brain_amygdala,brain_anterior_cingulate_cortex_ba24,brain_caudate_basal_ganglia,brain_cerebellar_hemisphere,brain_cerebellum,brain_cortex,brain_frontal_cortex_ba9,brain_hippocampus,brain_hypothalamus,brain_nucleus_accumbens_basal_ganglia,brain_putamen_basal_ganglia,brain_spinal_cord_cervical_c-1,brain_substantia_nigra,breast_mammary_tissue,cells_cultured_fibroblasts,cells_ebv-transformed_lymphocytes,colon_sigmoid,colon_transverse,esophagus_gastroesophageal_junction,esophagus_mucosa,esophagus_muscularis,heart_atrial_appendage,heart_left_ventricle,kidney_cortex,liver,lung,minor_salivary_gland,muscle_skeletal,nerve_tibial,ovary,pancreas,pituitary,prostate,skin_not_sun_exposed_suprapubic,skin_sun_exposed_lower_leg,small_intestine_terminal_ileum,spleen,stomach,testis,thyroid,uterus,vagina,whole_blood
(+)-3-hydroxy-n-methylmorphinan d-tartrate,0.0633311,0.0,0.77072245,0.14819008,-0.57873094,-0.4014404,-0.9068628,-0.6103804,0.0,-0.20698138,0.0,0.0,0.8720588,0.0,0.0,0.0,0.0,-2.0757685,-0.09539784,0.7472489,-0.1566577,0.0,-0.39600956,-0.6103804,0.0,-0.66211194,0.029824844,0.0,0.7788985,0.0,0.0,0.30190817,0.0,0.2362197,-0.66171205,0.0,0.283459,0.0,-0.59948474,0.0,0.004280825,0.0,1.0279204,0.0,0.0,2.1171162,-0.6103804,-0.88334185,-1.1382266
(+)-JQ1,3.4793246,-0.1991069,0.83021003,0.77777636,-0.5910171,1.1305002,-0.30328616,-1.7154015,-3.0347378,-2.4146614,0.42839998,1.372184,1.8960153,5.2165213,0.38826546,2.4581754,2.6070166,0.44285753,2.1977506,-0.2575456,0.5901946,-0.6650001,0.59214103,0.6230993,2.1303794,0.84581375,1.0290638,0.10884242,-2.4819436,-2.2070951,-0.5505588,0.47876993,1.248353,2.1297548,-0.340086,0.8044003,4.498941,-0.1468496,-0.6289612,0.7786659,1.6002339,-0.47686723,-1.661142,-0.03692402,-1.8122776,2.085763,0.97260725,0.4506602,-1.3621492
(-)-JQ1,3.4897773,0.06340375,0.124263495,0.3057468,-1.2107483,-0.7826851,0.014027857,0.34266233,-1.4709765,-0.50262666,1.4999021,-0.14370127,0.66448003,1.8729972,1.7713315,0.90686274,2.8938549,-1.6105268,3.1424546,0.5419011,-1.5962654,-0.9650536,1.2879738,-0.9764619,0.7977187,-0.9285473,1.4313691,1.4704417,-1.2191927,-0.74648505,-2.9248435,-1.4693906,0.4963728,-0.028828662,0.5995312,1.3169932,4.425633,-0.8735945,-0.023865717,0.34819624,2.4081,1.6267574,-0.5961359,0.23317805,-2.327524,1.1042062,3.4461124,2.5380533,-1.548772
(-)-cotinine,-0.41310766,0.08264999,-0.00091351033,1.0784496,0.46025544,0.7848268,-1.682273,-0.97145146,-1.6196995,0.0,-0.67710227,0.08897075,-1.1949205,0.0,0.0,0.0,0.0,0.70940506,0.31014058,0.3330739,-0.11944487,0.0,-0.35278368,0.0,-0.41718867,-0.2749891,0.60792655,0.5949466,0.12505569,-0.5581054,0.0,0.4762116,0.6337255,-0.2710161,-0.07096906,0.0,-1.2403198,0.4549814,1.5220503,0.0,-1.415578,0.0,0.085527174,0.0,0.7901122,0.0,-0.08601338,-0.764216,-0.47799334
(-)-gallocatechin gallate,-0.8762332,-1.4416226,0.45714644,-0.07338466,0.010841276,0.78410304,-0.90407556,-0.32223222,0.07445538,-0.40772727,-0.8731323,0.12945966,0.92649174,0.15708847,2.9415455,-0.24114041,-0.09074955,-0.41541636,1.1543337,-0.3478752,0.6426306,0.5870706,0.018213203,2.2547631,0.28628525,0.23363724,0.91875696,1.4705851,0.2111961,-0.27170745,-0.16403416,-1.6560416,-0.05782849,-0.8995396,1.1645522,-0.44789717,0.1325355,0.06189577,-0.20485853,-0.41331726,-0.55648595,0.26830226,0.21727553,0.25751257,-0.31056133,0.07656681,-1.8870542,1.7483437,-1.0746348
(e)-capsaicin,0.550661,0.46914884,0.09157634,-0.9722409,-0.14313565,0.23718168,0.48881188,-0.12769431,-0.36663684,0.29390892,-1.8098533,0.6761359,-0.48190966,1.4312336,0.33541903,0.0,0.44284067,0.7304631,-0.062422365,-0.14659277,-0.58367735,-1.0298363,-0.027036905,0.44774085,0.20406125,-0.58872277,-1.3578631,-0.20966066,0.43309453,0.93082964,-1.2274921,0.18964763,0.33206305,0.7518564,-0.6661844,-0.5591476,0.2073023,-1.1049262,-0.2408939,0.402597,-1.8730505,0.0,-0.41933903,0.068149954,0.6627657,-0.75267166,-0.61391807,1.0019478,-0.05087385
(s)-(-)-bay k 8644,-0.49931172,-0.28714252,0.9872912,0.7278881,1.0659673,0.17807204,0.021628505,0.90755564,-0.5119986,0.0,-0.44667876,-0.4071266,-0.425511,0.0,0.5457142,1.1090019,-0.77927023,0.021434529,-0.7178762,-0.6733513,0.23352624,1.3111507,0.013922114,0.0,0.46658486,0.34640223,0.00069296535,-0.40410128,0.69340533,-0.024372762,0.52824223,-0.52585936,-0.42742243,1.0763404,0.28033736,-0.098155394,-0.004159045,0.5775329,-0.33544326,-0.31956825,-0.56583774,-0.8525745,0.0197426,0.6720652,-0.7300042,-0.44198334,-0.344592,1.898839,0.86346024
1-benzylimidazole,-1.0443864,0.0,0.03158584,-0.003005939,0.0,0.07801771,1.0108238,0.0,0.0,0.54669213,0.0,0.0,0.0,-0.75657505,1.8432182,-0.7439711,0.0,0.98584324,-1.494616,0.54662126,0.5545915,0.0,0.4276904,0.73020214,-1.2985367,-0.90902066,-0.9037006,0.0,0.0,0.7699677,1.1885847,0.0,-0.7838757,0.40942138,0.50996464,-1.5918603,0.0,0.0,0.73020214,-0.6066099,-1.6485053,0.0,1.5982808,-0.7838757,-0.56269443,0.3705199,0.6161528,-0.67477065,-1.0360817
11k-629s,1.375587,-0.06597945,-0.8901469,-0.2728998,0.29355243,-0.0073091974,0.7603582,-0.19256324,-0.014394819,0.015423786,-2.79737,-0.5971174,0.33821982,-0.7841089,-0.4301665,-0.24258983,0.66825664,-0.39524227,1.0634068,0.82452226,0.63921005,0.0,-1.9185264,-0.7500214,0.34478554,0.5215459,-1.1177169,-0.43622667,-0.075841926,1.1615686,0.5501578,1.1073757,0.98032886,-1.6553297,0.83871686,-1.2116733,-0.00056341366,-0.056233514,0.118262164,-0.0007467773,-1.4765085,-0.3589406,-2.4863386,0.07266566,0.33768257,-0.026196556,-1.1493019,-0.39033684,0.19264494
12k-516s,-0.23133741,-0.7003239,-0.605057,0.028710263,0.7024466,0.43316403,0.0,-0.8536406,-0.440726,0.22049989,-1.5210866,0.5524128,0.49011794,-1.191574,0.57039106,0.115412176,0.53135926,1.6461025,1.5406893,0.62356806,0.01244066,0.0,0.7098479,-0.31323728,1.9251069,-2.2184877,-0.6415304,-1.2249446,-0.45315883,-0.38870856,-1.1118472,0.0,0.36227918,-0.58859277,0.68323094,-2.6426258,1.0175359,0.724037,0.0,-1.3683134,-0.13829497,-1.3998867,-0.39916652,0.69218767,-0.32468012,0.14954191,0.045788154,-0.0104489885,-1.3291878
12k-612s,2.122499,0.0,0.0,0.8227706,0.0,-0.68489945,0.0,0.0,0.0,-0.7976,0.0,0.0,0.0,0.0,1.0279204,0.0,1.0279204,0.0,-0.010397327,-0.7892159,0.0,0.0,0.6886514,0.0,-1.520067,0.0,0.0,0.0,0.0,0.99356055,0.0,0.0,0.99731237,-1.1829561,0.0,0.0,0.0,0.0,0.0,-0.8725437,1.3617898,-1.0896207,0.0,0.0,-0.80458814,0.5912147,0.0,0.0,1.7767751
12k-613s,1.765476,0.036465902,0.9266098,-1.4270954,0.0,0.37165332,-0.1819496,-0.49354064,0.987684,-0.60315645,-0.012154386,-0.5271621,0.20319495,-0.38640913,-0.003825071,-1.5012863,-0.31072474,0.0,-0.12090814,-0.72718894,0.72680515,0.0,0.29315886,0.28493968,0.735242,-0.6060141,0.13651453,0.3547734,-0.21034549,-0.763855,0.56780374,-0.40208986,-0.4661268,-0.23431692,0.12760091,0.7527526,0.0030472088,-0.84039974,-2.0314581,-1.469916,-2.3297942,0.0,-0.7931205,0.13722569,1.7034304,0.9907699,-0.94580925,-0.18534915,-0.020204881
1391-0741,0.27461657,-0.8210634,-0.48869964,-0.04997795,-0.04652958,0.29741666,-0.8718221,0.382603,-0.013583478,-1.8600348,-1.0634604,0.27408552,0.021667076,1.8558686,1.9386454,-0.27408552,2.1776586,0.0,0.43626583,-0.47261444,0.32940057,0.0,-0.30450344,-0.04184308,2.1231828,-0.48036084,-1.0409276,-0.9054541,0.29716298,0.2648037,-0.5368739,-0.35986835,1.4227844,-2.0821404,-0.6039038,-0.25444058,-0.07973166,0.46717104,-1.3101823,-1.235957,0.728529,0.028111367,-1.168711,-0.124823965,0.39039516,-0.5232277,0.021667076,0.16878131,0.39871526
1483-0018,0.23545766,0.104822606,-0.34554678,0.3843251,0.6896222,0.13878375,0.46270713,-0.07448955,0.35400304,-0.6486559,-0.024837568,0.24686912,-1.6476657,-0.7368883,-0.37212896,-0.55996865,1.270013,0.09998147,0.39779118,-0.95535296,0.5845231,0.0,-0.75238043,-0.17952687,0.39221343,-2.3522153,-0.24402116,0.45441234,0.2830157,0.045015175,-2.1662993,-0.013081803,-0.77515274,-0.4555326,-0.641647,-2.5937676,-0.45305875,-0.5121469,-0.05211686,0.37354636,-1.5647956,-0.3416986,-0.53775805,0.25320417,-0.48399386,-0.99434584,0.18198536,-1.032474,0.7334602
1495-0136,0.2502554,0.4717877,0.0,1.592986,0.5082864,-0.7286246,0.12576509,0.0,1.6628017,-0.92699033,0.0,-0.6109414,0.6109414,0.0,1.0640856,1.5023837,0.72826403,0.80479723,-1.1482592,0.0,0.11799516,-1.4056418,0.0,0.5389106,-0.36392567,0.58383733,-1.4749143,-1.3630515,0.5389877,0.59775835,0.22903006,-1.2239902,-1.5023837,1.3183247,-0.39051425,-0.3045016,-0.34406653,-0.10651908,-0.59775835,0.0,-0.26781988,0.99273443,-0.5283578,0.0,-1.1591237,0.2502554,0.0,0.74049014,-0.38421622
15-delta prostaglandin j2,1.1213886,-0.2501872,-0.041720826,-2.5827627,1.8955103,-0.3739552,-0.46938732,-0.43377241,-0.95363563,0.7691835,-0.38007766,-0.9315696,-0.20998608,0.99553,1.4605639,-0.36154652,1.6314117,0.21005915,-0.78533685,0.5030562,-0.086244,0.0,-0.11607922,1.150145,-0.06858557,1.2737653,0.025573421,-0.14084606,0.8427862,0.90415394,-0.77708876,-0.23440751,-0.34381595,1.4084566,-0.4740312,0.9632034,0.73469615,0.3665365,-0.10898774,0.33699062,-1.0297962,-0.24396303,-0.3340524,0.5427618,0.38789457,-0.6378202,-0.743267,1.0140965,-1.3148574
"15-deoxy-?12,14-prostaglandin j2",0.22691682,-0.061229303,-0.27953452,-1.608393,0.1600352,-0.38276568,-0.086657524,-0.45425498,-0.32182005,-0.6275299,-1.2277421,0.30229858,0.08855494,0.16342574,0.5194808,-0.08898961,0.11439919,-0.024914725,0.25416014,0.21567786,-0.48334092,0.0,-0.0913739,0.95520324,0.8783507,0.45768023,-0.7117264,-0.32432896,0.47711253,-0.4674247,0.41417712,-0.54248905,1.2170123,-1.1115586,-2.1987147,0.66352147,0.4281227,0.49946126,-0.63121825,0.1178642,-0.33936104,-0.055413585,0.9907393,0.19622718,-0.71978736,0.87493604,-0.2630007,0.30897418,-0.4421094
1541b,0.057005297,0.0,-0.09464821,-0.32526892,0.0,0.06408318,-0.6994959,-0.06240769,-0.6994959,-0.41373697,0.6502598,0.0,0.12126126,0.0,-0.11095067,0.0,-0.11095067,0.0,0.0,-0.026758663,0.330764,0.0,0.33068305,0.0,0.5198306,0.23822424,-0.3067512,-1.010175,0.0,0.0,-0.14047949,0.9391916,-1.0925214,1.7621424,-0.31562036,-0.15483391,0.9012524,-0.5167959,1.0100712,0.5241448,-1.8376191,0.0,0.56615686,0.0,0.09839435,0.57655793,-1.1123233,-0.5048073,-0.2820835
